floor,garage,m2,price,rooms,target,zone,prob
7ª,0,110,629000,3,0,Nova Esquerra de l'Eixample,0.028
5ª,0,80,349000,4,0,La Sagrada Família,0.278
Casa,0,200,990000,3,0,Dreta de l'Eixample,0.598
Casa,0,115,660000,2,0,Dreta de l'Eixample,0.1
Casa,0,101,599000,3,0,Dreta de l'Eixample,0.296
Casa,0,107,736000,3,0,Dreta de l'Eixample,0.106
Casa,0,270,2200000,4,0,Antiga Esquerra de l'Eixample,0.08
Casa,0,162,920000,3,0,Dreta de l'Eixample,0.76
Casa,0,115,630000,3,0,Dreta de l'Eixample,0.212
Casa,0,110,630000,3,0,Dreta de l'Eixample,0.2
Casa,0,154,549000,3,0,El Fort Pienc,0.368
Casa,0,158,550000,4,0,Antiga Esquerra de l'Eixample,0.252
Casa,0,88,750000,2,0,Dreta de l'Eixample,0.05
Casa,0,65,890000,2,0,Dreta de l'Eixample,0.12
Casa,0,125,630000,3,0,Dreta de l'Eixample,0.272
Casa,0,140,1045000,4,0,Dreta de l'Eixample,0.436
Casa,0,215,1950000,3,0,Dreta de l'Eixample,0.04
Casa,0,248,1680000,5,0,Dreta de l'Eixample,0.058
Casa,0,200,1500000,4,0,Dreta de l'Eixample,0.27
Casa,0,210,1430000,5,0,Dreta de l'Eixample,0.198
Casa,0,90,590000,2,0,Nova Esquerra de l'Eixample,0.03
Casa,0,70,795000,2,0,El Fort Pienc,0.17
6ª,0,94,619000,3,0,Nova Esquerra de l'Eixample,0.014
1ª,0,100,560000,3,0,Antiga Esquerra de l'Eixample,0.434
1ª,0,150,320000,1,0,Sant Antoni,0.41
5ª,0,82,512000,2,0,Nova Esquerra de l'Eixample,0.052
4ª,0,79,440000,2,0,Nova Esquerra de l'Eixample,0.004
4ª,1,80,370000,4,0,El Fort Pienc,0.454
1ª,0,80,315000,3,0,Antiga Esquerra de l'Eixample,0.56
2ª,0,79,415800,2,0,Nova Esquerra de l'Eixample,0.292
5ª,0,52,250000,1,0,Nova Esquerra de l'Eixample,0.426
4ª,0,300,2500000,3,0,Dreta de l'Eixample,0.044
7ª,0,103,639000,3,0,Nova Esquerra de l'Eixample,0.01
1ª,0,82,409000,2,1,Nova Esquerra de l'Eixample,0.364
Casa,0,104,585000,1,0,Dreta de l'Eixample,0.214
3ª,0,127,795000,3,0,Antiga Esquerra de l'Eixample,0.082
2ª,0,130,435000,3,0,Nova Esquerra de l'Eixample,0.442
1ª,1,110,670000,3,0,Nova Esquerra de l'Eixample,0.092
5ª,0,81,512000,2,0,Nova Esquerra de l'Eixample,0.016
4ª,0,90,680000,2,0,Dreta de l'Eixample,0.18
2ª,0,80,330000,3,0,Sant Antoni,0.548
1ª,0,78,409000,2,0,Nova Esquerra de l'Eixample,0.384
2ª,0,103,609000,3,0,Nova Esquerra de l'Eixample,0.02
4ª,0,130,695000,3,0,Sant Antoni,0.22
6ª,0,300,2450000,6,0,Nova Esquerra de l'Eixample,0.318
4ª,0,84,409000,2,0,Nova Esquerra de l'Eixample,0.344
4ª,0,79,440000,2,0,Nova Esquerra de l'Eixample,0.004
3ª,0,108,395000,3,0,Nova Esquerra de l'Eixample,0.294
2ª,1,104,609000,3,0,Nova Esquerra de l'Eixample,0.042
3ª,0,148,580000,4,0,El Fort Pienc,0.206
2ª,0,110,560000,2,0,Sant Pere,0.22
Bajo,0,120,280000,3,0,El Raval,0.48
4ª,0,70,305000,3,0,La Barceloneta,0.248
1ª,0,300,795000,2,0,Sant Pere,0.152
3ª,0,32,210000,1,0,La Barceloneta,0.278
Casa,0,88,335000,3,0,El Gòtic,0.356
1ª,0,40,195000,1,0,La Barceloneta,0.276
1ª,0,120,564000,3,0,Sant Pere,0.42
3ª,0,54,345000,2,0,Sant Pere,0.108
2ª,0,32,135000,1,0,El Raval,0.528
4ª,0,30,115000,1,0,El Raval,0.328
1ª,0,30,99000,1,0,El Raval,0.306
2ª,0,118,480000,3,0,Sant Pere,0.286
2ª,0,53,190000,2,0,El Raval,0.422
4ª,0,56,369000,3,0,Sant Pere,0.256
Entreplanta,0,62,340000,2,0,El Gòtic,0.292
1ª,0,52,267697,2,0,El Raval,0.214
2ª,0,46,275697,2,0,El Raval,0.21
4ª,0,99,250000,2,0,Sant Pere,0.506
1ª,0,30,99000,3,0,El Raval,0.212
4ª,0,105,500000,4,0,Sant Pere,0.328
3ª,0,171,1030000,3,0,El Gòtic,0.04
Casa,0,349,1950000,4,0,Sant Pere,0.044
3ª,0,44,155000,2,0,El Raval,0.398
Casa,0,300,795000,2,0,Sant Pere,0.18
1ª,0,48,195000,1,0,El Raval,0.264
3ª,0,171,1030000,3,0,El Gòtic,0.04
1ª,0,37,160000,2,0,El Raval,0.51
2ª,0,80,299500,4,0,El Gòtic,0.56
1ª,0,80,289000,2,0,El Gòtic,0.586
3ª,0,175,950000,5,0,El Gòtic,0.122
2ª,0,130,650000,3,0,El Gòtic,0.108
Casa,0,106,630000,1,0,Sant Pere,0.11
1ª,0,160,780000,4,0,Sant Pere,0.158
1ª,0,120,495000,4,0,La Barceloneta,0.476
1ª,0,118,540000,4,0,Sant Pere,0.554
7ª,1,60,425000,1,0,Sant Pere,0.12
Casa,0,125,720000,3,0,El Gòtic,0.056
7ª,1,61,425000,1,0,Sant Pere,0.114
4ª,0,170,998000,4,0,El Gòtic,0.23
7ª,0,73,599000,1,0,El Gòtic,0.168
7ª,1,57,425000,1,0,Sant Pere,0.126
7ª,1,61,425000,1,0,Sant Pere,0.114
5ª,0,380,2200000,5,0,Sant Pere,0.084
